

| # | Industry | Department | Trade | Specialization |
| 738 | Oil & Gas | Maintenance & Facilities | Mechanical | Corrective Maintenance Technician |
| 739 | Oil & Gas | Operations | Well Services | Crew Chief |
| 740 | Oil & Gas | Marine & Offshore | Deck Operations | Docking Seaman |
| 741 | Oil & Gas | Maintenance & Facilities | Electrical | Electrician |
| 742 | Oil & Gas | Engineering | Instrumentation & Control | Field Comm / SCADA Engineer |
| 743 | Oil & Gas | Health, Safety & Environment | Fire Protection | Fire Protection Engineer |
| 744 | Oil & Gas | Operations | Gas Plant | Gas Plant Operations Technician |
| 745 | Oil & Gas | Operations | Production | Production Operator |
| 746 | Oil & Gas | Marketing & Communications | Advertising & PR | Advertising / PR / Events / Media Planning |
| 747 | Oil & Gas | Administration | Admin & Office Management | Back Office Staff |
| 748 | Banking & Finance | Sales & Business Development | Bancassurance | Bancassurance Manager |
| 749 | Oil & Gas | Sales & Business Development | Business Development | BD Executive |
| 750 | Oil & Gas | Accounting & Finance | Accounts | Bookkeeper |
| 751 | Oil & Gas | Human Resources | HR Management | Deputy HR Manager |
| 752 | Insurance & Financial Services | Sales & Business Development | Insurance | Insurance Care Consultant |
| 753 | Oil & Gas | Marketing & Communications | Market Research | Market Research Group Account Manager |
| 754 | Oil & Gas | Marketing & Communications | Media | Media Planning Executive / Officer |
| 755 | Oil & Gas | Maintenance & Facilities | BMS / HVAC / Fire | Busway Installer Technician |
| 756 | Oil & Gas | Maintenance & Facilities | Instrumentation & Control | Instrument Technician – Shutdown Specialist |
| 757 | Oil & Gas | Engineering | Civil | Civil Contract Manager |
| 758 | Oil & Gas | Health, Safety & Environment | HSE | EHS Consultant |
| 759 | Oil & Gas | Engineering | Electrical | Electrical Field Engineer |
| 760 | Oil & Gas | Engineering | Electronics | Electronic Supervisor |
| 761 | Oil & Gas | Engineering | MEP | HVAC Service Engineer |
| 762 | Oil & Gas | Engineering | Industrial Engineering | Industrial Engineer |
| 763 | Energy & Utilities | Trainer | Industrial Trainer | Instructor – Solar Energy |
| 764 | Oil & Gas | Quality & Inspection | Inspection | Instrument Inspector |
| 765 | Oil & Gas | Engineering | Architecture | Junior Architect |
| 766 | Oil & Gas | Engineering | Mechanical | Mechanical Engineer Manager |
| 767 | Oil & Gas | Engineering | MEP | MEP Operation Engineer |
| 768 | Mining | Engineering | Mining Engineering | Mining Analyst |
| 769 | Oil & Gas | Engineering | General | Other Engineer |
| 770 | Oil & Gas | Engineering | Piping | Piping Foreman |
| 771 | Oil & Gas | Operations | Plant Operations | Plant Operations Supervisor |
| 772 | Oil & Gas | Project Management | Planning & Scheduling | Scheduler / Scheduling Engineer |
| 773 | Oil & Gas | Manufacturing | Welding | Weld Shop Production Engineer |
| 774 | IT & Technology | IT & Technology | Developer | Senior Applications Engineer |
| 775 | IT & Technology | IT & Technology | Developer | Senior Programmer |
| 776 | IT & Technology | IT & Technology | IT Support & Operations | Senior System Administrator |
| 777 | Oil & Gas | Quality & Inspection | Inspection | E&I Inspector |
| 778 | Oil & Gas | Operations | Plant Operations | DCS Field Operator |
| 779 | Oil & Gas | Operations | Plant Operations | MMU Operator |
| 780 | Oil & Gas | Operations | Carpentry | Shuttering Carpenter |
| 781 | Oil & Gas | Operations | Masonry | Mason – Block / Brick & Plaster |
| 782 | Oil & Gas | Manufacturing | Fabrication | Fabricator – Stainless Steel (SS) |
| 783 | Oil & Gas | Operations | Painting | Painter / Polisher |
| 784 | Oil & Gas | Operations | General Maintenance | All Rounder Technician |
| 785 | Oil & Gas | Health, Safety & Environment | HSE | EHS Coordinator |
| 786 | Oil & Gas | Manufacturing | Welding | TIG & ARC Welder (1G / 2G / 3G / 4G) GTAW SMAW |
| 787 | Academic | Trainer | Industrial Trainer | Senior Technical Trainer |
| 788 | Healthcare | Nursing | Renal / Dialysis Nursing | Dialysis Nurse |
| 789 | Healthcare | Administration | Medical Records | Medical Records Administrator |
| 790 | Healthcare | Allied Health | Respiratory Therapy | Respiratory Specialist |
| 791 | Healthcare | Allied Health | Alternative Medicine | Traditional Chinese Medicine (TCM) Practitioner |
| 792 | Event Management | Administration | Event Planning | In-House Event Planner |
| 793 | Hospitality & Catering | Food & Beverage | Chef / Cook | Vegetable Chef (Entremetier) |
| 794 | Construction | Operations | Heavy Equipment | Dozer Operator |
| 795 | Construction | Health, Safety & Environment | HSE | EHS Manager |
| 796 | Oil & Gas | Operations | Plant Operations | Field Operator – HCU |
| 797 | Manufacturing | Operations | Plant Operations | Production Operator (PLC) |
| 798 | Sales & Marketing | Sales & Business Development | Business Development | BD Representative |
| 799 | Sales & Marketing | Administration | Business Analysis | Business Analyst |
| 800 | Accounting & Financial Services | Accounting & Finance | Accounts | Certified Public Accountant (CPA) |
| 801 | Banking & Finance | Accounting & Finance | Finance | Corporate Finance Executive |
| 802 | Administration Services | Administration | Admin & Office Management | Data Entry Clerk / Operator |
| 803 | Administration Services | Administration | Admin & Office Management | Back Office Executive |
| 804 | Insurance & Financial Services | Sales & Business Development | Insurance | Insurance Executive |
| 805 | Sales & Marketing | Marketing & Communications | Market Research | Market Research Executive – Qualitative |
| 806 | Media & Creative | Marketing & Communications | Media Research | Media Research Field Executive |
| 807 | Facility Management | Maintenance & Facilities | BMS / HVAC / Fire | Fire Alarm Technician |
| 808 | Manufacturing | Maintenance & Facilities | Instrumentation & Control | Millwright Technician |
| 809 | Manufacturing | Quality & Inspection | Inspection | Electronic Control Inspector |
| 810 | Construction | Engineering | Civil | Civil Draughtsman |
| 811 | Construction | Engineering | Electrical | Electrical Maintenance Engineer |
| 812 | Construction | Health, Safety & Environment | HSE | EHS Manager |
| 813 | Oil & Gas | Engineering | Instrumentation & Control | Instrument Site Engineer |
| 814 | Manufacturing | Procurement & Planning | Supply Chain | Materials Executive |
| 815 | Manufacturing | Engineering | Mechanical | Mechanical Head |
| 816 | Construction | Engineering | MEP | MEP Quantity Surveyor |
| 817 | Mining | Operations | Mining Management | Miner |
| 818 | Shipping & Marine | Engineering | Naval Architecture | Naval Architect |
| 819 | Telecommunications | Engineering | Network Planning | Network Planning Engineer |
| 820 | Oil & Gas | Quality & Inspection | Piping QA | Piping Quality Engineer |
| 821 | Oil & Gas | Quality & Inspection | Inspection | Process Inspector |
| 822 | Energy & Utilities | Engineering | Renewable Energy | Project Developer – Solar |
| 823 | Construction | Engineering | MEP | Senior HVAC Design Engineer |
| 824 | Construction | Operations | General | Supervisor |
| 825 | IT & Technology | IT & Technology | Developer | Senior Systems Software Engineer |
| 826 | IT & Technology | IT & Technology | Developer | Software Architect |
| 827 | IT & Technology | IT & Technology | IT Support & Operations | Technical Support Specialist |
| 828 | Oil & Gas | Engineering | Applications Engineering | Application Engineering Manager |
| 829 | Oil & Gas | Engineering | Geology | Cartography / Geological Mapping |
| 830 | Construction | Operations | Civil | Civil Foreman / Supervisor |
| 831 | Oil & Gas | Operations | Well Services | Coiled Tubing Personnel |
| 832 | Oil & Gas | Operations | Commercial Management | Commercial Manager |
| 833 | Oil & Gas | Operations | Well Services | Company Representative |
| 834 | Oil & Gas | Project Management | Cost Control | Cost Control Engineer |
| 835 | Oil & Gas | Operations | Drilling | Drilling Analyst |
| 836 | Oil & Gas | Maintenance & Facilities | Drilling Maintenance | Drilling Maintenance Technician |
| 837 | Oil & Gas | Maintenance & Facilities | Electrical | Electrical Rig Technician |
| 838 | Oil & Gas | Operations | Well Services | Fishing Specialist (Tool Retrieval) |
| 839 | Oil & Gas | Operations | Gas Plant | Gas Processing Plant Operator |
| 840 | Oil & Gas | Operations | General Labour | Helper |
| 841 | Oil & Gas | Health, Safety & Environment | HSE | Loss Prevention Engineer |
| 842 | Oil & Gas | Operations | Well Services | Stimulation Engineer |
| 843 | Construction | Manufacturing | Fabrication | Fabricator – Structural |
| 844 | Construction | Operations | Painting | Sand Blaster / Painter |
| 845 | Construction | Manufacturing | Welding | TIG & ARC Welder (5G / 6G) GTAW SMAW |
| 846 | Power & Utilities | Operations | General Labour | Helper |
| 847 | Power & Utilities | Operations | General Labour | Helper |
| 848 | Power & Utilities | Operations | Painting | Painter / Bodywork Repairs |
| 849 | Power & Utilities | Operations | General Labour | Helper |
| 850 | Power & Utilities | Maintenance & Facilities | BMS / HVAC / Fire | Cable Jointer Technician |
| 851 | Power & Utilities | Manufacturing | Production | Machine Operator |
| 852 | Power & Utilities | Manufacturing | Fabrication | Fabricator – Steel / Structural |
| 853 | Power & Utilities | Manufacturing | Welding | TIG & ARC Welder (5G / 6G / 6GR) GTAW SMAW |
| 855 | Power & Utilities | Engineering | Civil | Civil Contractor |
| 856 | Power & Utilities | Health, Safety & Environment | HSE | EHS Coordinator |
| 857 | Power & Utilities | Engineering | Electrical | Electrical Foreman |
| 858 | Telecommunications | Engineering | Communications | Electronics & Communication Engineer |
| 859 | Power & Utilities | Engineering | MEP | HVAC Site Engineer |
| 860 | Power & Utilities | Engineering | Instrumentation & Control | Instrument Maintenance Engineer |
| 861 | Power & Utilities | Procurement & Planning | Supply Chain | Inventory Control Executive |
| 862 | Facility Management | Operations | Landscaping | Landscape Horticulturist |
| 863 | Energy & Utilities | Management | Senior Management | Managing Director – Solar |
| 864 | Power & Utilities | Engineering | Mechanical | Mechanical Engineer Trainee |
| 865 | Power & Utilities | Engineering | MEP | MEP Planning Engineer |
| 866 | Mining | Operations | Mining Management | Mine Shift Boss |
| 867 | Power & Utilities | Operations | General | Other Foreman |
| 868 | Power & Utilities | Quality & Inspection | Inspection | Piping Inspector |
| 869 | Power & Utilities | Engineering | Process Engineering | Process Design Engineer |
| 870 | Power & Utilities | Engineering | Project Management | Senior Project / Site Engineer |
| 871 | Power & Utilities | Transport & Logistics | Driver | House Driver |
| 872 | Power & Utilities | Operations | Heavy Equipment | Crane & Hoisting Equipment Operator |
| 873 | Power & Utilities | Operations | Plant Operations | Field Operator |
| 874 | Power & Utilities | Operations | Plant Operations | Plant Operator – Water Treatment |
| 875 | Academic | Trainer | Industrial Trainer | SHEM Trainer |
| 876 | Hospitality & Catering | Front Office & Guest Services | Front Office | Front Office Receptionist |
| 877 | Hospitality & Catering | Food & Beverage | Chef / Cook | Pastry Chef (Patissier) |
| 878 | Hospitality & Catering | Food & Beverage | Restaurant Management | Restaurant Manager |
| 879 | Hospitality & Catering | Front Office & Guest Services | Front Office | Front Office Supervisor |
| 880 | Hospitality & Catering | Food & Beverage | Chef / Cook | Sauce Chef (Saucier / Saute Chef) |
| 881 | Hospitality & Catering | Food & Beverage | QSR & Fast Food | Runner / Trainee / Helper |
| 882 | Media & Creative | Design & Creative | Art Direction | Art Director |
| 883 | Real Estate | Sales & Business Development | Business Development | BD Manager |
| 884 | Real Estate | Accounting & Finance | Accounts | Branch Accounts Head |
| 885 | Real Estate | Accounting & Finance | Finance | Business Finance Manager |
| 886 | Real Estate | Accounting & Finance | Finance | CFO & Company Secretary |
| 887 | Real Estate | Human Resources | HR Management | Director – HR |
| 888 | Insurance & Financial Services | Operations | Insurance | Insurance Claims Advisor |
| 889 | Real Estate | Marketing & Communications | Market Research | Market Research Manager |
| 890 | Media & Creative | Marketing & Communications | Media Production | Media Producer |
| 891 | IT & Technology | IT & Technology | Developer | Senior Programmer |
| 892 | IT & Technology | IT & Technology | Developer | Senior Programmer Analyst |
| 893 | IT & Technology | IT & Technology | IT Support & Operations | Support Specialist |
| 894 | Research & Development | IT & Technology | Developer | Senior Programmer Analyst |
| 895 | Research & Development | IT & Technology | Developer | Senior Software Engineer |
| 896 | Research & Development | IT & Technology | IT Support & Operations | Systems Administrator |
| 897 | Retail | Engineering | AV Design | Audiovisual Design Engineer |
| 898 | Retail | Sales & Business Development | Business Development | BD Marketing Manager |
| 899 | Retail | Accounting & Finance | Finance | Budget Analyst |
| 900 | Retail | Accounting & Finance | Finance | Chief Finance Officer (CFO) |
| 901 | Retail | Administration | Admin & Office Management | Company Secretary |
| 902 | Retail | Transport & Logistics | Dispatch | Dispatch Incharge |
| 903 | Insurance & Financial Services | Sales & Business Development | Insurance | Insurance Consultant |
| 904 | Retail | Marketing & Communications | Market Research | Market Research Project Director |
| 905 | Retail | Marketing & Communications | Media | Media Relationship Manager |
| 906 | IT & Technology | IT & Technology | Developer | Senior Software Engineer |
| 907 | IT & Technology | IT & Technology | Developer | Senior System Architect |
| 908 | IT & Technology | IT & Technology | IT Support & Operations | Technical Specialist |
| 909 | IT & Technology | IT & Technology | Developer | Senior System Architect |
| 910 | IT & Technology | IT & Technology | Developer | Senior System Designer |
| 911 | IT & Technology | IT & Technology | IT Support & Operations | Technical Support |
| 912 | Hospitality & Catering | Housekeeping | Cleaning & Sanitation | Housekeeping Attendant |
| 913 | Hospitality & Catering | Food & Beverage | Chef / Cook | Senior Chef (Chef de Partie / Station Chef) |
| 914 | Hospitality & Catering | Food & Beverage | Chef / Cook | Sous Chef |
| 915 | Courier / Transportation / Freight | Transport & Logistics | Driver | Delivery – Bike Rider (2 Wheeler) |
| 916 | Construction | Operations | Heavy Equipment | Common Dump Truck Operator |
| 917 | Shipping & Marine | Human Resources | HR Management | Human Resource Manager |
| 918 | Healthcare | Allied Health | Clinical Support | Personal Care Labourer / Ward Boy |
| 919 | Healthcare | Allied Health | Podiatry | Podiatrist |
| 920 | Healthcare | Research & Science | Medical Research | Research Officer |
| 921 | Healthcare | Allied Health | Therapy | Therapy Assistant |
| 922 | Shipping & Marine | Operations | Painting | Painter Blaster |
| 923 | Shipping & Marine | Health, Safety & Environment | HSE | EHS Executive |
| 924 | Academic | Trainer | Commercial Trainer | Training Coordinator |
| 925 | Oil & Gas | Laboratory & Quality | Chemical Analysis | Analyser Engineer |
| 926 | Oil & Gas | Engineering | Geology | Basin Analysis Geologist |
| 927 | Oil & Gas | Operations | Camp Management | Camp Boss |
| 928 | Oil & Gas | Operations | Well Services | CDS Technician |
| 929 | Construction | Engineering | Civil | Civil Engineer |
| 930 | Oil & Gas | Operations | Well Services | Coiled Tubing Equipment Operator |
| 931 | Oil & Gas | Commissioning & Pre-Commissioning | Commissioning Management | Commissioning Manager – High Integration Equipment |
| 932 | Oil & Gas | Engineering | Corrosion | Corrosion Engineer |
| 933 | Oil & Gas | Operations | Drilling | Driller |
| 934 | Oil & Gas | Maintenance & Facilities | Electrical | Electrical Rig Maintenance Technician |
| 935 | Oil & Gas | Maintenance & Facilities | Field Services | Field Service Technician |
| 936 | Oil & Gas | Operations | Gas Plant | Gas Plant Process Operator |
| 937 | Oil & Gas | Operations | Heavy Equipment | Heavy Machinery Operator |
| 938 | Oil & Gas | Health, Safety & Environment | HSE | Loss Control Foreman / Supervisor |
| 939 | Oil & Gas | Engineering | Production Engineering | Production Technologist |
| 940 | Shipping & Marine | Sales & Business Development | Business Development | BD Office Executive |
| 941 | Shipping & Marine | Sales & Business Development | Business Development | Business Alliances Manager |
| 942 | Shipping & Marine | Accounting & Finance | Accounts | Cashier |
| 943 | Shipping & Marine | Accounting & Finance | Finance | Commercial Finance Manager |
| 944 | Shipping & Marine | Administration | Admin & Office Management | Company Secretary Trainee |
| 945 | Shipping & Marine | Human Resources | HR Management | Employee Relations Manager |
| 946 | Insurance & Financial Services | Operations | Insurance | Insurance Coordinator |
| 947 | Shipping & Marine | Marketing & Communications | Market Research | Market Research Associate |
| 948 | Shipping & Marine | Marketing & Communications | Media | Media Research Executive / Officer |
| 949 | Shipping & Marine | Maintenance & Facilities | BMS / HVAC / Fire | Chiller Technician |
| 950 | Shipping & Marine | Maintenance & Facilities | Mechanical | Mechanical Commissioning Technician |
| 951 | Shipping & Marine | Engineering | Civil | Civil Design Engineer |
| 952 | Shipping & Marine | Health, Safety & Environment | HSE | EHS Engineer |
| 953 | Shipping & Marine | Engineering | Electrical | Electrical General Manager |
| 954 | Shipping & Marine | Engineering | Electronics | Electronics Design Engineer |
| 955 | Shipping & Marine | Engineering | MEP | HVAC Supervisor |
| 956 | Shipping & Marine | Engineering | Instrumentation & Control | Instrument Project Engineer |
| 957 | Shipping & Marine | Procurement & Planning | Supply Chain | Inventory Control Officer |
| 958 | Construction | Engineering | Surveying | Land Surveyor |
| 959 | Shipping & Marine | Engineering | Mechanical | Mechanical Estimator |
| 960 | Shipping & Marine | Engineering | MEP | MEP Project Engineer |
| 961 | Mining | Engineering | Mining Engineering | Mining Analyst |
| 962 | Energy & Utilities | Operations | Renewable Energy | National Solar Lead |
| 963 | Shipping & Marine | Engineering | Piping | Piping Lead Engineer |
| 964 | Shipping & Marine | Engineering | Process Engineering | Process Engineer |
| 965 | Shipping & Marine | Engineering | General | Service Engineer |
| 966 | IT & Technology | IT & Technology | Developer | Senior System Designer |
| 967 | IT & Technology | IT & Technology | Developer | Senior Systems Software Engineer |
| 968 | IT & Technology | IT & Technology | IT Support & Operations | Technical Support Engineer |
| 969 | Hospitality & Catering | Housekeeping | Housekeeping Management | Housekeeping Supervisor |
| 970 | Hospitality & Catering | Food & Beverage | Chef / Cook | Sous Chef (Second Chef / Under Chef) |
| 971 | Hospitality & Catering | Food & Beverage | QSR & Fast Food | Steward / Waiter |
| 972 | Wastewater Treatment & Environment | Maintenance & Facilities | BMS / HVAC / Fire | Communication Technician |
| 973 | Wastewater Treatment & Environment | Maintenance & Facilities | Mechanical | Mechanical Maintenance Technician |
| 974 | Wastewater Treatment & Environment | Operations | Plant Operations | Field Executive |
| 975 | Wastewater Treatment & Environment | Operations | Plant Operations | Production Operator |
| 976 | Wastewater Treatment & Environment | Health, Safety & Environment | HSE | EHS Inspector |
| 977 | Wastewater Treatment & Environment | Engineering | Civil | Civil Draftsman |
| 978 | Wastewater Treatment & Environment | Health, Safety & Environment | HSE | EHS Executive |
| 979 | Wastewater Treatment & Environment | Engineering | Electrical | Electrical Head |
| 980 | Wastewater Treatment & Environment | Engineering | Electronics | Electronics Engineer |
| 981 | Wastewater Treatment & Environment | Engineering | MEP | HVAC Technician |
| 982 | Wastewater Treatment & Environment | Quality & Inspection | Inspection | Instrument QC Inspector |
| 983 | Wastewater Treatment & Environment | Quality & Inspection | QA / QC | Lead Testing Engineer |
| 984 | Wastewater Treatment & Environment | Administration | General | Management Trainee |
| 985 | Wastewater Treatment & Environment | Engineering | Mechanical | Mechanical Foreman |
| 986 | Wastewater Treatment & Environment | Engineering | MEP | MEP Project Manager |
| 987 | Mining | Operations | Mining Management | Mining Foreman |
| 988 | Wastewater Treatment & Environment | Engineering | Piping | Piping Principal Engineer |
| 989 | Energy & Utilities | Engineering | Renewable Energy | Preconstruction Manager – Solar |
| 990 | Wastewater Treatment & Environment | Operations | Process Operations | Process Foreman |
| 991 | Wastewater Treatment & Environment | Operations | Plant Operations | Shift Incharge |
| 992 | Wastewater Treatment & Environment | Quality & Inspection | Inspection | HVAC Inspector |
